,text,sarcastic
126,"There are a bazillion things to do in my small town of Wadsworth. One thing you can do is ride horses on the moon and sing songs with Abe Lincoln in the bar. On top of that, I recommend eating a hundred gallons of ice cream at any local ice cream shop downtown. Some of the flavors that they have are out of this world! Additionally in the winter, I like to go over to a place called kill hill next to the main highway. The hill is up extremely high, you can see the whole world from there! It has to be at least a million feet tall!",1
127,Government- “all over 40’s must have booster jab by end of January!” NHS website *rubs hands together in glee* “oh yes? I think not…!” 🙄,1
134,"Why aren’t we finding a way to distribute our lovely country fairly?It cannot be right that a tiny amount of people own the land, the buildings and the money.",0
147,"Dry your eyes mate, they're only trousers",1
150,You know you’ve become an adult when you have to argue nonsense stuff with 20 different phone numbers of your car insurance company.,0
169,I really haven't a clue why people think GP's aren't working when you look at all the supportive news headlines around!,1
175,"Because Karen from YouTube knows more about science than, you know, actual scientists",1
180,Boris Johnson is a great leader and all his team stick to the covid rules rules,1
184,Ma'am this is a bnb why are you decorating this man's Christmas tree with his child,0
187,"The government has run out of lateral flow tests at a time when they are desperately needed, again.",0
194,Come on Ralf... get it changed,0
197,Now is an amazing time to join the group. Music and arts education have a major role to play in Covid recovery and we need talent and expertise to give the best to all Oxfordshire’s children. Please give it some thought….,0
202,Another gorgeous day in sunny Accrington!,1
206,So pleased to have another December day in the office with the AC blowing. How many coats will I need today? 🥶⛄️,1
212,"I really wish people would stop being selfish and wear a mask in shops. Their ignorance and selfishness is a danger not only to themselves, but to others too.",0
215,"You need to be friendly and in contact when you don't need any help, friends should be in contact all the time , not only when they need help.",0
226,ted cruz was spotted at the airport going to Cancun while his constituents were literally freezing to death.  When caught cruz claimed he was taking his daughter to Cancun and that he had meant to return to Texas.,0
227,"do love third year uni winter break, three things to do over the holidays while we have had no due dates so far this year yet 😐 ",1
241,"I’m heading out to snag my COVID-19 inoculation! Thanks government mandate! Super pleased to be doing my part even though the vaccines do not stop one from getting the disease, they do not stop the spread, and it leads to a life of non-stop useless boosters! Woo-hoo!",1
244,You look fantastic in that new dress.  It shows off your figure.,1
250,"Main book finished ... 4,000 words today which I found from somewhere. Epilogue (2,500 words) will be done next week. It's over. And I'm exhausted.",0
253,What’s one of the best parts of parenting you ask? Putting your hand down and finding it’s wet from an unknown liquid 😩😩😩,1
255,And this why we love Drake…his ability to remain humble through it all,0
260,I woke this morning to another Monday of fine bright warm sunshine here in Norfolk. Just what you need to put you in the right frame of mind for the week.,1
261,Even Rashford's food packages for hungry children was much better than this.,0
265,"Oh thank you irrelevant company 700 another christmas advert. Just what I need, another feel good marketing campaign to buy things i dont need.",1
267,"This holiday is not going the way i thought it was - food is bad, service is attrocious",0
268,Im just gonna go out there and say it… Chas and Dave are underrated in my opinion.,0
276,"Nearly a week since my tracked parcel was sent off. Still at the same Post Office I dropped it off at apparently... What excuse do you reckon they'll use if I chase it up? COVID, Black Friday, Christmas, Other? Place bets NOW!",1
281,yes it makes perfect sense for harry and ginny to get together. it's not like she was the most boring person ever or anything,1
282,I don't know. Why wouldn't I actually love people dying everywhere with none of the people that can help doing anything about it?????,1
320,Money is going to locate me today . Claiming this,0
321,I’m sure there’s an explanation….. I mean there must be right?,0
322,I just know the government is gonna lock us all down in spite because they can’t have their Xmas party,0
327,No of course not because there are no decent people involved in these attacks on him,0
328,"""Does Salah want to score today, even my grand mother could have scored that open goal!""",1
334,"Michael Carricks interview after the Chelsea game, ""i thought we were unlucky not to get the 3 points today"" 3 Points, i am sure you have to start shooting to score goals to win games !!!",1
335,"Oh, no, totally, don't wear a mask and cough and splutter around me. COVID'll be a fun little time..",1
337,Can't wait to sit at my desk for 7 and half hours. Back working harder than me...,1
339,I was waiting at the bus stop when the driver pulled up and said you waiting for a bus? I said no mate im waiting for a plane. He drove off.,1
342,Klich is an absolute liability in this team. Should be nowhere near it,0
346,I swear stupid people were put on this earth to test my anger management skills,1
348,You can tell ted cruz cares about Texas.  He came back from Cancun to be with his fellow Texans,1
354,"How kind of the Conservative party to cancel their Christmas get together this year, I mean they didn't have enough parties last year, did they?",1
356,It's so weird how I look ugly in photos but I also look ugly in the mirror,1
367,"Anthony Taylor is such a fair referee, I wish he was put in charge of more chelsea matches",1
373,We love you James. Totally on our page. Please come and see us ❤️🙏🏻🌎🙏🏻❤️,0
378,i am sometimes one of the most blondest people out there its a pity my hair colour doesnt match which would make it the perfect combo haha,1
389,can’t believe the covid vaccine made me lose a limb. i thought being tracked was the only side effect ,1
394,"Once again the government tell us to do as they say, not as they do.",0
399,"So the Lions fans think winning one game will change anything?  Sure, and I have a bridge to sell you. :)",1
402,"I would change the sentence a little and use different emojis: "" I really love it when I get to sit next to someone with no mask on the bus 😊!""",0
404,I enjoy being at work and can’t wait to come in everyday and see all my happy colleagues ,1
416,"Keeping Boris Johnson as prime minister might be good for the Labour Party, but it’s not good for the country",0
422,"I love waking up to start work at 5am everyday. Even better when its Christmas, because there's nothing I love more than being surrounded by stressed out customers over food!",1
423,This is the weather for a leather shoot. 😅,0
426,"Free bars are dangerous. I’m never sick, last night I threw up in a bush infront of our legal director",0
432,"Not sure if I’m unpopular or if Christmas cards are no longer fashionable,but the only one I’ve had so far this year is off the peoples postcode lottery. Worrying times….",0
433,"Salah and Mane can’t score for the life of them today, good job we’ve got Origi and Minamino to come on and make a difference!",1
436,"to all the anti-vaxxers out there, may you live every day as if it is your last... and improve the gene-pool.",1
437,"Spare left for Chelsea away this week, Everton Upper Shed, can get it off me at Palace tomorrow or from mine through the week.",0
440,Another example of the need for systems based impact finance in city regions so that outcomes are achieved at much lower cost.,0
445,bruv hate to sound like someone’s nan but what a set on strictly,0
468,So you think the vaccine is a bad idea then. Glad you have that PHD in immunology!,1
479,Birmingham city will definitely not be getting promoted this season.,0
481,"It doesn't make any sense that the government wouldn't enforce face masks in bars, where social distancing is non existent. But you have to in a supermarket. ",0
482,"I mean, all I teach is critical race theory bc I’m a traitor to my race",1
483,"The Tories standing by Fat Savile must be up to their eyes in it, only explanation.",0
488,I went to the best restaurant today for dinner. It was absolutely amazing. My steak was cold and the fries were rock solid. I expected my food to be mouth watering and it sure was when I had to wash each bite down with my drink.   ,1
491,My gut feeling is always right.,0
505,Properly worried about ending up with chipper now,0
507,"I am sorry, I forgot, I only exist when you need something!",1
509,"It would seem like Microsoft keep going through the emo stage in life. They're blue screen of death keeps turning black, started in 1999 then again in 2011 and now again in 2021",1
511,This is a sign of a growing problem and a threat to our children’s lives. These are human rights violations. Discrimination against disabled children is unlawful and must be stopped.,0
513,"nothing like being down £20 a week - choosing between food and bills this christmas, thanks DWP! <3",1
515,It's the alamo,0
516,I hate wearing a face mask on public. I can't believe that the government have 'reintroduced having to wear them,0
518,Such a bad start to the day - laptop is on the blink & i've just spilt a full cup of coffee. Get me to five o'clock ASAP,0
520,"Wow, can’t wait to go into ANOTHER lockdown 🙄",1
522,"I have a cold. Definitely a cold but I feel Rotten and should be photographing a wedding tomorrow (which I also hate doing)

Joy",0
533,Maya from selling sunset has lost her baby at 38 weeks 😢💔 can’t even begin to imagine how awful that must be,0
543,I have every confidence in our government’s Covid action plan this Christmas 🙄,1
556,"Another great patch guys, you fully used the test server!",1
557,My location accidentally came up on twitter.. was trying to get rid if it.. and now it somehow says 'Allotment' 🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️,0
558,Omicron is an anagram for no crimo (No chrimbo),0
560,"Ahw, the topless old biker guy that sits outside Starbucks every morning had a t-shirt on today. Christmas is coming! ❤️🎄",0
562,I hate it when a restaurant ignores my dietary requirements,0
567,Their reason for grabbing and holding on to power is to scam as much money from us ordinary citizens (proles) as they can. They see this as enterprising and virtuous. I see it as corruption and theft.,0
569,Intels is an incredibly bad load of crap.,0
572,"Sound advice but nearly all of our customers have paid deposits for the next 2 weeks, they’re not going to cancel their nights out.",0
576,"Love a good cat story, especially a Co-op cat... 💙😻💙",0
577,Woken up to no power so getting ready in the pitch black with no hot water 😭,0
582,"This weather is really making me want to put shorts on, flock to the beach and get the deck chair out.... Yeah right!!!",1
591,"If you truly love someone, just remember this. They will dump you for someone better :)",1
597,"Omicron seems to be a big threat, I think we should drop inquiries into last years parties and focus on this instead.",0
598,I think we might want to worry a little more about the risks posed by the Omicron variant than fretting over a Zoom quiz that took place a year ago.  Just a thought.,1
606,"Love how modern society has the same rules for everyone, regardless of your job or background. Really brings the country together!",1
609,"This conversation must be driven by the 94%. 

The 6% have been pushing for change.",0
630,"""Do a PhD, it'll be fun and rewarding,"" said no clinically sane person. Ever. I repeat. Ever.",1
631,"I'm sure I'm getting more laid back about the whole virus thing.  There is speculation about a possible lockdown after Christmas, and I've got to the stage of ""never mind, we've had 3 already...""",0
633,"Please I really want to watch Pepe..atleast make I see am live on the 21st.
This freeze out isn’t worth it at all",0
634,Breaking news: Pubs and bars the latest cure for COVID.,1
643,Did I not love enough to keep your attention on and on?,0
644,"Why does Ramish think he can  stop my kitchen rennovation because of the noise? His kids are not exactly quiet or competent when they play their musical instruments, lets just say my dog makes a better sound.",1
645,Just watched first two episodes of Just Like That! I don't think having half a bottle of red helped,0
657,"McDonalds should be rebranded Fast Food & I'm lovin it?!? You having a laugh. 20 minutes wait, cold food and my burger looks like its been in a fight with Mike Tyson",1
660,I will be following the new rules event though the rule makers have never done the same despite their promises.,0
661,"Prizes must be claimed tonight or re drawn.
50 inch t.v plus many more prizes
£1 a go 🤶",0
669,"Vaccine mandates are obviously great things for the good of the people, cause nothing bad has ever happened by forcing people into things. ",1
670,Oh what a surprise BBC weather says it's raining in Manchester! in Manchester!,1
673,Boris johnson must host the best parties,1
677,Really insane to think Brandon Marshall had the best season of his Hall of Fame career while in his 30s and playing with Ryan Fitzpatrick for the New York jets,0
681,Slightly worried that the police think that potential crimes need not be investigated after a certain length of time.,0
685,"I’m one in 80,000,000. Put that in your pipe and smoke it",0
692,It's really annoying how often the travel requirements/covid restrictions are changing. I'm really stressed that the government have now introduced an additional 2 tests for travelers just before my trip to Paris!,0
704,All I’m asking is for Glasgow uni law to stop giving formatives and practices which are not related to how the exam is structured at all 😀😀,0
707,Hope the kit is a beauty so I can add it to my collection,0
710,Thank you to the Mackay family for giving Angel this chance 🙏🏻,0
713,I constantly have loads of the new symptoms but also negative tests. Tsk about making you paranoid.,0
723,I live for the great British weather!,1
724,It’s actually really easy to get into the mindset of a Tory. All I do is smash my head into a wall until I bleed and then slur incoherently about social mobility and England before stuffing handfuls of loose change into Tim Martin’s hands and kick a homeless person in the jaw.,1
731,I really love finishing my term with an period of enforced isolation thanks to the amazing governments controls on covid in school.,1
738,Politicians are so honest it melts my heart,1
754,"I’m so glad the entire world got to watch the Vikings play last night. 

That’s an average game: goes well but ends up blowing it, getting into an unnecessarily tense situation.",0
773,i cant wait for sonny to show up in their static dress hoodie and we’ll end up being matchy again,0
776,saw a video of someone getting a hug. would LOVE a hug. u know those really nice ones,0
779,"You were given the option to be born into a more financially stable family at conception, but chose not to avail yourself of the opportunity provided; perhaps you should now take personal responsibility for that decision, and deal with the consequences?' 🎩",1
781,"My neighbours children are so annoying when they block the driveway because they are round all the time, rather than staying at their own house.",0
784,"such a good morning, computer froze, update then crashed my laptop, just spilt a cup of coffee. Can the week honestly get any better than this!!",1
786,Im just gonna go out there and say it… Chas and Dave are underrated in my opinion.,0
799,"Haha but it’s all coming to an end? Justice will prevail,of that I’m sure? Plus every dog, gets their day haha 😉",0
812,"My sisters kid, when we were playing in the living room, told me that I look like ghoul due to my baggy eyes. I love children so much, they make me feel so appreciated and loved, always say the kindest things! ",1
813,I’m gonna start posting daily rants on Twitter to sum up my life’s drama.. starting today! 😘,0
816,Nice to see the sheep getting their boosters to fully protect themselves,1
821,Imagine you have absolutely NO money right now but you’re STILL checking regularly for and Evermore anniversary merch drop :),0
824,It really bothers me when Deliveroo mess up my order.,0
826,"John Major followed by…
Anna Soubry……followed by…Phillip Hammond…..Topped off with Ed Davey, Jo Swinson ( “next candidate for Prime Minister) and pièce de résistance Ian Blackford (+ obligatory mince pie 🥧)",0
836,"At my favourite cafe:

Barista: It's your birthday today? You must be like, 30, right?

I'm 23 but no hard feelings...",0
837,"Yes you look fantastic for your age, thank the lord for filters hey!",1
854,"We need better control of the ball, get it changed Ralf 

Mason for Marcus, Donny for Bruno",0
860,"So you had to cancel your Christmas party? Worry not, this is how you do it, in a true Christmas spirit 👇🏻",0
865,Several..love how you've omitted the number you oddball. 13 and counting to your...5?,0
871,Another jab to protect myself? More pokes I get I’ll pop,1
875,"I absolutely loveee not getting a graduation ceremony after I spent 3 years on my degree and ended up over £50,000 in debt",1
878,When was the last time we named the same starting 11 for 3 games in a row,0
881,"Wow, glad I spent my entire Christmas away from family last year.",1
896,I love how Instagram can motivate people.  I saw a post by Kim Kardashian and I was motivated to delete my account.,1
897,very angry that the government went ahead with their christmas parties while the rest of us were locked down,0
908,"I would say: I think it's funny that somebody decides to resign because they went to a party that they made out never happened, when it actually did! Resigning does not make the situation acceptable!",0
913,"wheyy confirmation for Sunday, no idea what team I'm in but ay will be good fun",0
918,"Really looking forward to going Christmas shopping with my anti-vax, anti-mask, global conspiracy believing sister this weekend. ",1
934,How are you not even going to have a look and review that!? Absolute joke,0
936,I LOVE paying so much for gas. Really feels good to help out big oil.,1
948,"Omicron:  Cases are going up, run for the hills.",1
949,Really impressed at human evolution - Covid has made our bodies adapt so we breathe out our chins. Darwin would be so proud. ,1
950,I was just wondering why wasn't Kay Burley and Beth Rugby forced to resign last year .,0
953,That purple patch must be continuing for Larne players. Tiernan hoping it ends soon,0
956,Can't wait to go for my first driving lesson today. The thought of getting into a metal death trap that kills thousands of people every year just fills me with joy!,1
959,So the Prime Minister parties whilst the rest of us at to live with strong lockdown restrictions where we couldn't see close family or friends for months. Yet still as a job.,0
963,How did Ntamack get that away?,0
968,Boris Johnson is entirely trustworthy and honest and there was obviously no Christmas Party in Number 10 this time last year,1
971,The contract extension with James Franklin will absolutely work out in Penn State's favor.,1
982,You on your best behaviour is me on my worst,1
991,This is exactly why we should pay a lot more for talented politicians.,0
995,"School sends out a newsletter* So now I need a whiteboard to track ALL the school festive activities!! Mufti day - don’t forget to make a payment for this, carol concert, early school closure etc Does it ever stop! ",1
996,Off side😏,0
999,I wonder if there’s a parenting manual for schools to hand out?. Some parents could really use the guidance… ,1
1000,I wanted to stock up on office supplies at Tesco but all I could find in the aisle was wine,1
1013,I believe that Britain’s international reputation has already been shot to pieces in the hands of Johnson’s Tories. This will certainly make things much worse.,0
1018,Not everyone loves Christmas and you don't always have to be happy and jolly even if there is pressure to be so.,0
1025,I am just loving life in Covid times. Long may it last!,1
1034,It really upsets me when people drive stupidly on the morning.,0
1036,Birmingham city football club are definitely getting promoted to the premier league this season!!,1
1041,Facing off with a mountain lion? That’s a Dash of the bold!,0
1044,"I can't believe that after this whole pandemic, and knowing exactly what will happen if they aren't careful, the government is still choosing to fail to protect disabled people.",0
1053,Will the new science explain why their jabs treatments are temporary &amp; protection wanes. Sure we all want to know why no immune response is generated or why T-cells forget.,0
1057,"Disappointed at Boris, no cheese or wine visible at last nights announcement, not even a party hat in sight",1
1060,I genuinely didn’t mean it when I said we would play our B Team tonight 😳,0
1066,The only immunity these vaccines infer is immunity from liability for those who develop and administer them.,0
1069,Biden is a great President like none other we have had,1
1076,"Wow, work is just so rewarding and fulfilling right now",1
1078,"I am so concerned that we're this far into a pandemic and so many people still fail to distance, wear a mask, and wash their hands thoroughly. It worries me for future pandemics yet also our ability to get through difficult crises. E.g. what could be ahead with the climate.",0
1079,"We often wonder why some people 'burn out' before others. Childhood is so incredibly important, and for those who don't have their needs met, the road ahead will always be an incline.",0
1081,"There are so many different activities you can do in my small town of Wadsworth. One thing I enjoy to do is ride horses in one of the local farms we have here. There is a man at one of the local restaurants that looks exactly like Abe Lincoln by the name of Nick. At the local ice cream shop by the name of Dolce, they have at least 20 different flavors of ice cream and Italian ice. They are oh so delicious. In the wintertime, we love to go sled riding at one of the local hills. The hill we go to is right next to the highway and is at least 50 feet high. Its one of the best hills around to go sled riding at!",0
1082,I'm so high and I'm in Boxpark and there's a live band and it's bare loud and I'm so high,0
1084,"I'd like to thank my current employer for making me feel accepted and valued. It's particularly nice that, whenever I have some suggestions for them, that they seriously consider them and don't just automatically put their fingers in their ears and shout 'I CAN'T HEAR YOU'. Metaphorically.",1
1087,Bit odd for someone to resign over a party that didn't happen *eye roll*,1
1094,If only we had another lockdown I'd love to be locked in my room for another 8 months,1
1097,Of course it’s raining when I’m due to go out tonight 👍🏻,0
1106,I saw Boris Johnson on the news wearing a police hat this morning. I wish he would simply focus of being more competent rather than trying to attract attention to himself all the time.,0
1107,The sound on Tiktok about men being better than women is hilarious. Ask not what you can do for the patriarchy but what the patriarchy can do for you.,0
1116,"You don't what the Europa Conference League is well your probably not going to like it. 
You team didn't do their best to avoid it did they really 🤣🤣",0
1119,Everton are doing really well at the minute! Really happy with their efforts,1
1121,"No matter how good or bad your life is, wake up in the morning and remember you still have one.",0
1128,Boris Johnson is not a clown. The conservative party is not corrupt.,1
1138,Weathers wonderful today! 🌂🌂🌂,1
1140,"Just a tiny question. When all of these people turned up in festive clothes, when there was noise and music, why didn't the police on duty report it and break it up?",0
1155,Lovely to have you visit us today and thanks for your encouragement and support,0
1157,"Find myself medically unable to ""write good"" at the exact moment in time when i have to write both well, and a LOT. Send prayers, vibes etc",0
1164,"I've just posted exactly the same, will no longer be watching.  Euro News for me!",0
1169,Oh yes thank you mr delivery man so much for delivering my important and fragile package by leaving it on the doorstep in the pouring rain!Very glad you didn'tring the bell or leave it in my safe place as suggested!,1
1177,Sooo HAPPY that my back had decided to ✨spasm✨ at the start of my week off from work. Adore walking like the old hag from Snow White 🙃,1
1186,Top 10 pools in my book:  1. Swimming pool 2. Paddling pool 3. Above-ground pool 4. Family pool 5. Architectural pool 6. Indoor pool 7. Lap pool 8. Olympic size pool 9. Natural pool  10. Salt water pool  Sorry Liverpool you are not top 10 pools in my book 😭😭😭,1
1187,"Really bro, thanks for the update⸮",0
1191,"When someone puts on too much perfume I would say nice perfume, how long did you let it marinate???Tt",1
1194,My boss is so immature. It frustrates me that she is always nit picking my work.,0
1196,I see windyspoons have taken all protective barriers of their bars. Sensible drinking policies from the desperate King of brexit.,0
1197,Everybody loves Christmas! It such a great time to be jolly!,1
1200,"Beyond stressed about tomorrow for clients cancelling on the day, I really can’t afford another Christmas period not working cause the government have decided to jump the gun and shut us down 😢",0
1205,So supposedly that’s a pen and the one for us on Tommiasu wasn’t,0
1211,Oh boy I can't wait for the next general election in which a population that has been completely screwed over by the Tories somehow manages to forget all of this and keep Boris Johnson in power! I love our smart country!,1
1213,So the PM has finally given his verdict on his COVID NHS stay in hospital.  Don't understand why nurses would not want his pay recomendation.,1
1229,"I never saw a film or tv show that could put me off New York City... 

And Just Like That",0
1230,"Dominic Raab is a fucking clown. Pretty sure crimes have to happen to be able to investigate them, rather than be imaginary possibilities",0
1236,We love a diagram. Just a little something missing under Power. Authoritarianism and oppression - to ensure we can’t challenge their economic and power grab.,0
1252,I'm sick and tired of ordering take away for it to arrive mostly cold! Wtf am I paying for exactly? Also my pizza wasn't cut... so I'm paying to do like half your freaking job at this point.,0
1253,The way people wear their trousers does not matter to most people so perhaps it would be a better use of your time to focus on yourself,0
1256,I would love a pet woolly mammoth,0
1265,"""This Christmas I hope you all either get vaccinated or wear a mask. The omicron variant is not going to give us a nice Christmas gift by deciding to not be spread amongst people."" ",0
1268,"The amount of disrespect that Cristiano Ronaldo gets on Twitter is crazy, and people weren’t moving like this before he rejoined Man Utd.",0
1273,Love how politicians are exempt from social distancing and all other restrictions placed on the general public ,1
1274,If only clever people actually had the ability to be clever and not repeat everything they think they know,1
1280,genuinely wanna know what deformed gene in my body decided taking A level history was a good idea,0
1290,"Masks work, that's why we don't have to wear them in pubs but do in shops!",1
1291,Let's cut funding to social services. What could possibly go wrong ,1
1292,"So hard to book a jab, turn up, be jabbed, wait a bit and then get on with your life.  Why bother?",1
1296,Reckon it would be easier to get home from town if I ordered a Deliveroo?,0
1301,I don't get it. Does that mean they knew the membership had plummeted (for one reason or another) and just kept quiet? And only revealed it when someone asked?,0
1304,Crowd here 254 I think : best for years I think,0
1305,Hermes are the worst delivery company going. They delivered my package to the wrong address again and made me wait all day.,0
1317,I think pigs will fly before people start pulling their fingers out at work!,1
1318,slapped my nuts on the shower,0
1319,"skype calls and cash meets available today in MCR feeling so hungover and extra mean hahaha DM if you to be violated📥😈

findom paypig finsub humanATM cashcow moneyslave cashslave femdom findomme footfetish footworship footslave skype cashapp cashmeets",0
1321,I see the govt has run out of lateral flow tests. What a shock.,1
1328,"Hello John, sorry, I am in Beijing on the agreed annual leave and have only just received your text. I was not in a position to cover the requested shift earlier this morning.",0
1331,"Ah, we really needed that vaccine booster address from Boris Johnson, and it wasn't ANYTHING to do with getting the media to report on something else other than the Downing Street Christmas parties. ",1
1335,Having the worst time on holiday,1
1337,You have to love politics - all talk and no action.,1
1345,"Climate change isn't real. How could it be with us having the most hurricanes in recorded history, deadly tornados, and wildfires 🙄",1
1350,"Having a really busy day, might only manage the one box set today",1
1351,"I've just had the BEST day ever sorting out my referencing and annotations (-,-)...zzzZZZ",1
1352,I wish the weather was nicer this weekend,0
1354,Lucky I’m not going to that then…,0
1358,Don't forget to vote for Matty Lee this brilliant diver and person help him to stay tonight 🥇🥇🥇🥇🏰🇬🇧 x,0
1360,Birds are fascinating creatures. Birds that are able to mimic the human voice are absolutely terrifying. Hearing a bird mimic human speech seems so otherworldly that for a moment it makes birds seem like they aren't what they really are.,0
1362,"Turned out nice again, I see [insert photo of flooded house]",1
1368,"Another day, another end to another working week, let's see how the next one goes.",0
1371,I see ITV have new drama starting next week think it's about a police detective with personal problems that i'll make change then.,1
1380,"Thank you so much for this lovely review, Mandy! I’m delighted you enjoyed it 🥰📚🎄❄️🎄",0
1384,I think Boris Johnson deserves his parties after the great job he does for the country these past few years,1
1392,"Based on the government’s handling of the covid pandemic so far, I’m sure this Christmas will be a disaster too. ",0
